"SECONDS";"PID";"VALUE";"UNITS"
"32645.181139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32645.181139";"Стоимость топлива";"0";"₽"
"32645.181139";"Стоимость топлива (общий)";"90.5";"₽"
"32645.218139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32645.218139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32645.290139";"Пройденный путь";"0";"km"
"32645.290139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32645.290139";"Скорость автомобиля";"0";"km/h"
"32645.290139";"Средняя скорость";"0";"km/h"
"32645.290139";"Ускорение";"0";"g"
"32645.348139";"Power from MAF";"0";"hp"
"32645.348139";"Использовано топлива";"0";"L"
"32645.348139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32645.348139";"Массовый расход воздуха";"0";"g/sec"
"32645.348139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32645.348139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32645.348139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32645.348139";"Стоимость топлива";"0";"₽"
"32645.348139";"Стоимость топлива (общий)";"90.5";"₽"
"32645.384139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32645.384139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32645.489139";"Пройденный путь";"0";"km"
"32645.489139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32645.489139";"Скорость автомобиля";"0";"km/h"
"32645.489139";"Средняя скорость";"0";"km/h"
"32645.489139";"Ускорение";"0";"g"
"32645.536139";"Power from MAF";"0";"hp"
"32645.536139";"Использовано топлива";"0";"L"
"32645.536139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32645.536139";"Массовый расход воздуха";"0";"g/sec"
"32645.536139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32645.536139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32645.536139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32645.536139";"Стоимость топлива";"0";"₽"
"32645.536139";"Стоимость топлива (общий)";"90.5";"₽"
"32645.572139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32645.572139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32645.634139";"Пройденный путь";"0";"km"
"32645.634139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32645.634139";"Скорость автомобиля";"0";"km/h"
"32645.634139";"Средняя скорость";"0";"km/h"
"32645.634139";"Ускорение";"0";"g"
"32645.670139";"Power from MAF";"0";"hp"
"32645.670139";"Использовано топлива";"0";"L"
"32645.670139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32645.670139";"Массовый расход воздуха";"0";"g/sec"
"32645.670139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32645.670139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32645.670139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32645.670139";"Стоимость топлива";"0";"₽"
"32645.670139";"Стоимость топлива (общий)";"90.5";"₽"
"32645.842139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32645.842139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32645.910139";"Пройденный путь";"0";"km"
"32645.910139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32645.910139";"Скорость автомобиля";"0";"km/h"
"32645.910139";"Средняя скорость";"0";"km/h"
"32645.910139";"Ускорение";"0";"g"
"32645.945139";"Power from MAF";"0";"hp"
"32645.945139";"Использовано топлива";"0";"L"
"32645.945139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32645.945139";"Массовый расход воздуха";"0";"g/sec"
"32645.945139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32645.945139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32645.945139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32645.945139";"Стоимость топлива";"0";"₽"
"32645.945139";"Стоимость топлива (общий)";"90.5";"₽"
"32645.981139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32645.981139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32646.053139";"Пройденный путь";"0";"km"
"32646.053139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32646.053139";"Скорость автомобиля";"0";"km/h"
"32646.053139";"Средняя скорость";"0";"km/h"
"32646.053139";"Ускорение";"0";"g"
"32646.090139";"Power from MAF";"0";"hp"
"32646.090139";"Использовано топлива";"0";"L"
"32646.090139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32646.090139";"Массовый расход воздуха";"0";"g/sec"
"32646.090139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32646.090139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32646.090139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32646.090139";"Стоимость топлива";"0";"₽"
